Soort;Onderstam;Categorie 1;Categorie 2;Categorie 3;Categorie 4;Categorie 5;Mislukt;Totaal per soort
Nashi - Chojuro;Kirchensaller;4;13;14;0;0;0;31
Nashi - Shinseiki;Kirchensaller;0;19;14;0;0;0;33
Nashi - Shinko;Kirchensaller;1;19;7;1;0;0;28
Nashi - Kosui;Kirchensaller;1;3;5;0;0;0;9
Nashi - Tama;Kirchensaller;3;17;7;0;0;2;29
Nashi - Hosui;Kirchensaller;1;10;4;0;0;0;15
Nashi - Nugget;Kirchensaller;2;5;7;0;0;6;20
Nashi - Tsuli;Kirchensaller;0;0;5;3;0;0;8
Nashi - Kumoi;Kirchensaller;0;2;4;0;0;0;6
Nashi - Nijisseiki;Kirchensaller;0;2;7;0;0;0;9
Nashi - Nitaka;Kirchensaller;0;3;3;0;0;0;6
Colmar Épineux;Piro-dwerg;4;2;1;0;0;4;11
Colmar Épineux;Kirchensaller;1;6;10;0;0;0;17
Beurré Bachelier;Piro-dwerg;1;5;0;0;0;4;10
Beurré Bachelier;Kirchensaller;0;8;2;0;0;0;10
Juttepeer;Piro-dwerg;4;1;0;0;0;5;10
Juttepeer;Kirchensaller;0;1;7;2;0;0;10
Concorde;Pyrodwarf;1;8;0;0;0;0;9
Concorde;Kirchensaller;0;20;4;0;0;0;24
Packhams Triumph;Pyrodwarf;3;1;4;0;0;1;9
Packhams Triumph;Kirchensaller;0;3;8;2;0;0;13
Seigneir d'Esperen;Pyrodwarf;2;5;3;0;0;1;11
Seigneir d'Esperen;Kirchensaller;3;3;5;2;0;0;13
Legipont;Pyrodwarf;0;2;0;0;0;0;2
Legipont ;Kirchensaller;1;7;6;0;0;0;14
Comtesse de Paris;Pyrodwarf;1;7;1;0;0;1;10
Comtesse de Paris;Kirchensaller;0;1;6;3;0;0;10
Josefien de Maline;Pyrodwarf;1;1;0;0;0;7;9
Josefien de Maline;Kirchensaller;0;5;2;0;0;2;9
Triomphe de Vienne;Pyrodwarf;0;5;2;0;0;3;10
Triomphe de Vienne;Kirchensaller;0;0;10;0;0;0;10
Rode Williams;Pyrodwarf;2;10;3;0;0;3;18
Williams;Pyrodwarf;0;0;2;1;0;1;4
Williams;Kirchensaller;1;0;2;1;0;1;5
;;;;;;;;0
Ecolette;M7;0;0;4;6;0;0;10
Ecolette;M11;0;4;11;1;0;0;16
Bramleys seedling;M11;0;3;3;1;0;0;7
Santana;M7;0;0;3;1;0;0;4
Santana;M11;0;3;1;0;0;0;4
Lemoen;M7;1;0;12;3;0;0;16
Lemoen;M11;0;0;5;0;0;0;5
Elise;M7;0;8;8;0;0;0;16
Elise;M11;0;4;1;0;0;0;5
Rode Boskoop;M7;0;0;1;10;2;0;13
Rode Boskoop;M11;0;0;3;2;0;0;5
Princess Noble;M7;0;0;7;6;0;0;13
Princess Noble;M11;0;8;2;0;0;0;10
Red Topaz;M7;0;4;9;2;0;0;15
Red Topaz;M11;0;0;3;3;0;0;6
Topaz;M7;0;8;7;0;0;0;15
Topaz;M11;0;5;1;0;0;0;6
Rubinola;M7;0;5;8;1;0;0;14
Rubinola;M11;0;4;1;0;0;0;5
Alkmene;M7;0;0;13;1;0;1;15
Alkmene;M11;0;2;3;0;0;0;5
Ambro;M7;0;3;7;0;0;0;10
Ambro;M11;0;1;7;0;0;0;8
TOTAAL;;38;256;275;52;2;42;665
;;;;;;;;
;;;;;;;;
;;;;;;;;
Percentage mislukt;6,315789474;;;;;;;
